"SPECCD_ID","SCIENTIFIC","COMMON","MARFIS_CODE"
474,"MYCTOPHUM NITIDULUM","MYCTOPHUM NITIDULUM",NA
475,"NETTASTOMATIDAE F.","NETTASTOMATIDAE F.",NA
476,"NETTASTOMA SP.","NETTASTOMA SP.",NA
477,"HOPLUNNIS SP.","HOPLUNNIS SP.",NA
478,"NOTOSCOPELUS CAUDISPINOSUS","NOTOSCOPELUS CAUDISPINOSUS",NA
479,"MACROPARALEPIS AFFINE","MACROPARALEPIS AFFINE",NA
480,"XENOCONGRIDAE F.","XENOCONGRIDAE F.",NA
481,"CHLOPSIS BICOLOR","CHLOPSIS BICOLOR",NA
482,"KAUPICHTHYS HYOPROROIDES","KAUPICHTHYS HYOPROROIDES",NA
483,"LESTROLEPIS INTERMEDIA","LESTROLEPIS INTERMEDIA",NA
484,"PARALEPIS ELONGATA","PARALEPIS ELONGATA",NA
485,"MURAENESOCIDAE F.","MURAENESOCIDAE F.",NA
486,"PARAXENOMYSTAX SP.","PARAXENOMYSTAX SP.",NA
487,"LESTIDIOPS SP.","LESTIDIOPS SP.",NA
488,"EVERMANELLA INDICA","EVERMANELLA INDICA",NA
489,"SCOPELOSAURUS ARGENTEUS","SCOPELOSAURUS ARGENTEUS",NA
490,"HALOSAURIDAE F.","HALOSAURUS (NS)",NA
491,"TILUROPSIS SP.","TILUROPSIS SP.",NA
492,"SCOPELOSAURUS SMITHII","SCOPELOSAURUS SMITHII",NA
493,"MELAMPHAES TYPHLOPS","MELAMPHAES TYPHLOPS",NA
494,"SCOPELOBERYX ROBUSTUS","SCOPELOBERYX ROBUSTUS",NA
495,"PTERYCOMBUS BRAMA","PTERYCOMBUS BRAMA",NA
496,"DRACONETTA ACANTHOPOMA","DRACONETTA ACANTHOPOMA",NA
497,"PRISTIPOMOIDES AQUILONARIS","PRISTIPOMOIDES AQUILONARIS",NA
498,"ANTHIAS NICHOLSI","YELLOWFIN BASS",NA
499,"OPHICHTHUS PUNCTICEPS","OPHICHTHUS PUNCTICEPS",NA
500,"LIPARIS SP.","SEASNAIL UNIDENTIFIED",NA
501,"CYCLOPTERUS LUMPUS","LUMPFISH",176
502,"EUMICROTREMUS SPINOSUS","ATLANTIC SPINY LUMPSUCKER",NA
503,"LIPARIS ATLANTICUS","ATLANTIC SEASNAIL",NA
504,"LIPARIS LIPARIS","STRIPED SEASNAIL",NA
505,"LIPARIS FABRICII","SEASNAIL,GELATINOUS",NA
506,"LIPARIS TUNICATUS","GREENLAND SEASNAIL",NA
507,"CAREPROCTUS LONGIPINNIS","LONGFIN SEASNAIL",NA
508,"LIPARIS INQUILINUS","INQUILINE SEASNAIL",NA
509,"EUMICROTREMUS DERJUGINI","LEATHERFIN LUMPSUCKER",NA
510,"OPSANUS TAU","TOAD FISH",NA
511,"PARALIPARIS COPEI","BLACKSNOUT SEASNAIL",NA
512,"LIPARIS GIBBUS","SEASNAIL,DUSKY",NA
513,"LIPARIS COHENI","GULF SEA SNAIL",NA
514,"CYCLOPTERIDAE F.","LUMPFISHES,SEASNAILS (NS)",NA
515,"CAREPROCTUS  SP.","SEA TADPOLE(NS)",NA
516,"SERRANUS SP.","SERRANUS SP.",NA
517,"AHLIESAURUS BERRYI","AHLIESAURUS BERRYI",NA
518,"ARISTOSTOMIAS LUNIFER","ARISTOSTOMIAS LUNIFER",NA
519,"ARISTOSTOMIAS POLYDACTYLUS","ARISTOSTOMIAS POLYDACTYLUS",NA
520,"CAREPROCTUS REINHARDTI","SEA TADPOLE",NA
521,"ASTRONESTHES CYANEUS","ASTRONESTHES CYANEUS",NA
522,"ASTRONESTHES LEUCOPOGON","ASTRONESTHES LEUCOPOGON",NA
523,"ASTRONESTHES NIGER","ASTRONESTHES NIGER",NA
524,"ASTRONESTHES SIMILIS","ASTRONESTHES SIMILIS",NA
525,"BATHOPHILUS PROXIMUS","BATHOPHILUS PROXIMUS",NA
526,"BATHYLAGUS BERYCOIDES","BATHYLAGUS BERYCOIDES",NA
527,"BENTHALBELLA INFANS","BENTHALBELLA INFANS",NA
528,"BENTHODESMUS SP.","BENTHODESMUS SP.",NA
529,"BOLINICHTHYS INDICUS","BOLINICHTHYS INDICUS",NA
530,"CHAUNAX SP.","GAPPER",NA
531,"CUBICEPS SP.","CUBICEPS SP.",NA
532,"CUBICEPS GRACILIS","CUBICEPS GRACILIS",NA
533,"COCCORELLA ATLANTICA","COCCORELLA ATLANTICA",NA
534,"CUBICEPS CAPENSIS","CUBICEPS CAPENSIS",NA
535,"DIAPHUS FRAGILIS","DIAPHUS FRAGILIS",NA
536,"DIAPHUS HOLTI","DIAPHUS HOLTI",NA
537,"DIAPHUS ROEI","DIAPHUS ROEI",NA
538,"DIPLOPHOS TAENIA","DIPLOPHOS TAENIA",NA
